CMDLINE /opt/rh/rh-python36/password/usr/bin/python3 MetricsBuilder2.py
MEM 1.437500 1572297024.6938
MEM 8.554688 1572297024.7944
MEM 11.554688 1572297024.8951
MEM 16.949219 1572297024.9957
MEM 20.921875 1572297025.0963
MEM 22.074219 1572297025.1968
MEM 24.429688 1572297025.2974
MEM 27.824219 1572297025.3980
MEM 28.394531 1572297025.4988
MEM 28.394531 1572297025.5994
MEM 28.394531 1572297025.7001
MEM 28.394531 1572297025.8008
MEM 28.394531 1572297025.9015
MEM 28.394531 1572297026.0022
MEM 28.394531 1572297026.1029
MEM 28.394531 1572297026.2035
MEM 28.394531 1572297026.3041
MEM 28.394531 1572297026.4047
MEM 28.394531 1572297026.5053
MEM 28.394531 1572297026.6059
MEM 28.394531 1572297026.7065
MEM 28.394531 1572297026.8070
MEM 28.394531 1572297026.9076
MEM 28.394531 1572297027.0082
MEM 28.394531 1572297027.1088
MEM 28.394531 1572297027.2094
MEM 28.394531 1572297027.3102
MEM 28.394531 1572297027.4109
MEM 28.394531 1572297027.5116
MEM 28.394531 1572297027.6122
MEM 28.394531 1572297027.7128
MEM 28.394531 1572297027.8134
MEM 28.394531 1572297027.9141
MEM 28.394531 1572297028.0148
MEM 28.394531 1572297028.1154
MEM 28.394531 1572297028.2161
MEM 28.394531 1572297028.3169
MEM 28.394531 1572297028.4175
MEM 28.394531 1572297028.5180
MEM 28.394531 1572297028.6188
MEM 28.394531 1572297028.7194
MEM 28.394531 1572297028.8200
MEM 28.394531 1572297028.9208
MEM 28.394531 1572297029.0213
MEM 28.394531 1572297029.1220
MEM 28.394531 1572297029.2227
MEM 28.625000 1572297029.3232
MEM 29.242188 1572297029.4240
MEM 29.375000 1572297029.5245
MEM 29.441406 1572297029.6251
MEM 29.585938 1572297029.7258
MEM 29.597656 1572297029.8265
MEM 29.597656 1572297029.9270
MEM 29.742188 1572297030.0275
MEM 29.925781 1572297030.1282
MEM 30.207031 1572297030.2287
MEM 30.257812 1572297030.3293
MEM 30.382812 1572297030.4299
